,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
331,The Purge: Anarchy,2014,6.4,50        ,133440,R,https://imdb.com/title/tt2975578/,Action,Horror,Sci-Fi,Frank Grillo,Carmen Ejogo,Zach Gilford,0,0,3,6,103,9000000,111928365
332,Foxcatcher,2014,7.0,81        ,131464,R,https://imdb.com/title/tt1100089/,Biography,Drama,Sport,Steve Carell,Channing Tatum,Mark Ruffalo,0,5,12,1275,134,24000000,19206513
333,Into the Woods,2014,5.9,69        ,128856,PG,https://imdb.com/title/tt2180411/,Adventure,Comedy,Drama,Anna Kendrick,Meryl Streep,Chris Pine,0,3,11,1171,125,50000000,212902372
334,The Other Woman,2014,6.0,39        ,128170,PG-13,https://imdb.com/title/tt2203939/,Comedy,Romance,,Cameron Diaz,Leslie Mann,Kate Upton,0,0,3,5,109,40000000,196710396
335,Dumb and Dumber To,2014,5.6,36        ,125440,PG-13,https://imdb.com/title/tt2096672/,Comedy,,,Jim Carrey,Jeff Daniels,Rob Riggle,0,0,1,7,109,40000000,169837010
336,Let's Be Cops,2014,6.4,30        ,125341,R,https://imdb.com/title/tt1924435/,Action,Comedy,Crime,Jake Johnson,Damon Wayans Jr.,Rob Riggle,0,0,0,2,104,17000000,138224951
337,Still Alice,2014,7.5,72        ,123412,PG-13,https://imdb.com/title/tt3316960/,Drama,,,Julianne Moore,Alec Baldwin,Kristen Stewart,0,1,32,3233,101,5000000,44779195
338,The Monuments Men,2014,6.1,52        ,121961,PG-13,https://imdb.com/title/tt2177771/,Comedy,Drama,History,George Clooney,Matt Damon,Bill Murray,0,0,3,3,118,70000000,156706638
339,Jack Ryan: Shadow Recruit,2014,6.2,57        ,119725,PG-13,https://imdb.com/title/tt1205537/,Action,Drama,Thriller,Chris Pine,Kevin Costner,Keira Knightley,0,0,0,3,105,60000000,135503748
340,Wild,2014,7.1,76        ,116480,R,https://imdb.com/title/tt2305051/,Biography,Drama,,Reese Witherspoon,Laura Dern,Gaby Hoffmann,0,2,11,1167,115,15000000,52501541
341,"Love, Rosie",2014,7.2,44        ,115635,R,https://imdb.com/title/tt1638002/,Comedy,Romance,,Lily Collins,Sam Claflin,Christian Cooke,0,0,0,0,102,,25574387
342,Blended,2014,6.5,31        ,114300,PG-13,https://imdb.com/title/tt1086772/,Comedy,Romance,,Adam Sandler,Drew Barrymore,Wendi McLendon-Covey,0,0,1,10,117,40000000,127994610
343,If I Stay,2014,6.7,46        ,113035,PG-13,https://imdb.com/title/tt1355630/,Drama,Fantasy,Music,Chloë Grace Moretz,Mireille Enos,Jamie Blackley,0,0,3,1,107,11000000,78274843
344,I Origins,2014,7.4,57        ,111727,R,https://imdb.com/title/tt2884206/,Drama,Romance,Sci-Fi,Michael Pitt,Steven Yeun,Astrid Bergès-Frisbey,0,0,2,3,106,,481234
345,The Raid 2,2014,8.0,71        ,110977,R,https://imdb.com/title/tt2265171/,Action,Crime,Thriller,Iko Uwais,Yayan Ruhian,Arifin Putra,0,0,5,10,150,4500000,6566916
346,A Walk Among the Tombstones,2014,6.5,57        ,109983,R,https://imdb.com/title/tt0365907/,Action,Crime,Drama,Liam Neeson,Dan Stevens,David Harbour,0,0,0,1,114,28000000,58834384
347,The Giver,2014,6.5,47        ,109571,PG-13,https://imdb.com/title/tt0435651/,Drama,Romance,Sci-Fi,Brenton Thwaites,Jeff Bridges,Meryl Streep,0,0,3,6,97,25000000,66980456
348,Sex Tape,2014,5.1,36        ,105220,R,https://imdb.com/title/tt1956620/,Comedy,Romance,,Jason Segel,Cameron Diaz,Rob Corddry,0,0,2,3,94,40000000,126069509
349,Pompeii,2014,5.5,39        ,104412,PG-13,https://imdb.com/title/tt1921064/,Action,Adventure,Drama,Kit Harington,Emily Browning,Kiefer Sutherland,0,0,9,4,105,100000000,117831631
350,Night at the Museum: Secret of the Tomb,2014,6.2,47        ,101820,PG,https://imdb.com/title/tt2692250/,Adventure,Comedy,Family,Ben Stiller,Robin Williams,Owen Wilson,0,0,1,4,98,127000000,363204635
