,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
558,Kingsman: The Golden Circle,2017,6.7,44        ,258024,R,https://imdb.com/title/tt4649466/,Action,Adventure,Comedy,Taron Egerton,Colin Firth,Mark Strong,0,0,2,7,141,104000000,410902662
559,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39        ,250963,PG-13,https://imdb.com/title/tt1790809/,Action,Adventure,Fantasy,Johnny Depp,Geoffrey Rush,Javier Bardem,0,0,1,12,129,230000000,794861794
560,Alien: Covenant,2017,6.4,65        ,245318,R,https://imdb.com/title/tt2316204/,Horror,Sci-Fi,Thriller,Michael Fassbender,Katherine Waterston,Billy Crudup,0,0,2,13,122,97000000,240891763
561,Lady Bird,2017,7.4,94        ,222305,R,https://imdb.com/title/tt4925292/,Comedy,Drama,,Saoirse Ronan,Laurie Metcalf,Tracy Letts,0,5,120,120220,94,10000000,78965611
562,The Greatest Showman,2017,7.6,48        ,221802,PG,https://imdb.com/title/tt1485796/,Biography,Drama,Musical,Hugh Jackman,Michelle Williams,Zac Efron,0,1,14,1432,105,84000000,434993183
563,War for the Planet of the Apes,2017,7.4,82        ,219486,PG-13,https://imdb.com/title/tt3450958/,Action,Adventure,Drama,Andy Serkis,Woody Harrelson,Steve Zahn,0,1,28,2863,140,150000000,490719763
564,Murder on the Orient Express,2017,6.5,52        ,199842,PG-13,https://imdb.com/title/tt3402236/,Crime,Drama,Mystery,Kenneth Branagh,Penélope Cruz,Willem Dafoe,0,0,1,23,114,55000000,352789811
565,Life,2017,6.6,54        ,199077,R,https://imdb.com/title/tt5442430/,Horror,Sci-Fi,Thriller,Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,0,0,0,7,104,58000000,100541806
566,The Fate of the Furious,2017,6.7,56        ,197004,PG-13,https://imdb.com/title/tt4630562/,Action,Adventure,Crime,Vin Diesel,Jason Statham,Dwayne Johnson,0,0,1,11,136,250000000,1236005118
567,Call Me by Your Name,2017,7.9,93        ,193861,R,https://imdb.com/title/tt5726616/,Drama,Romance,,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,0,1,96,96253,132,4000000,41887595
568,Wind River,2017,7.7,73        ,192135,R,https://imdb.com/title/tt5362988/,Crime,Drama,Mystery,Kelsey Asbille,Jeremy Renner,Julia Jones,0,0,14,26,107,11000000,43980821
569,Ghost in the Shell,2017,6.3,52        ,189868,PG-13,https://imdb.com/title/tt1219827/,Action,Crime,Drama,Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,0,0,1,6,107,110000000,169801921
570,King Arthur: Legend of the Sword,2017,6.7,41        ,184743,PG-13,https://imdb.com/title/tt1972591/,Action,Adventure,Drama,Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,0,0,0,9,126,175000000,148675066
571,Mother!,2017,6.6,75        ,181589,R,https://imdb.com/title/tt5109784/,Drama,Horror,Mystery,Jennifer Lawrence,Javier Bardem,Ed Harris,0,0,9,40,121,30000000,44516999
572,The Hitman's Bodyguard,2017,6.9,47        ,178632,R,https://imdb.com/title/tt1959563/,Action,Comedy,Crime,Ryan Reynolds,Samuel L. Jackson,Gary Oldman,0,0,1,8,118,30000000,180650747
573,"I, Tonya",2017,7.5,77        ,169844,R,https://imdb.com/title/tt5580036/,Biography,Comedy,Drama,Margot Robbie,Sebastian Stan,Allison Janney,0,1,45,45122,119,11000000,53939297
574,Atomic Blonde,2017,6.7,63        ,167848,R,https://imdb.com/title/tt2406566/,Action,Thriller,,Charlize Theron,James McAvoy,John Goodman,0,0,10,17,115,30000000,100014025
575,The Mummy,2017,5.4,34        ,167337,PG-13,https://imdb.com/title/tt2345759/,Action,Adventure,Fantasy,Tom Cruise,Sofia Boutella,Annabelle Wallis,0,0,4,17,111,125000000,409231607
576,Darkest Hour,2017,7.4,75        ,162433,PG-13,https://imdb.com/title/tt4555426/,Biography,Drama,Family,Gary Oldman,Lily James,Kristin Scott Thomas,0,2,51,5177,125,30000000,150847207
577,Valerian and the City of a Thousand Planets,2017,6.5,51        ,155490,PG-13,https://imdb.com/title/tt2239822/,Action,Adventure,Family,Dane DeHaan,Cara Delevingne,Clive Owen,0,0,0,11,136,177200000,225874228
578,Baywatch,2017,5.5,37        ,154045,R,https://imdb.com/title/tt1469304/,Action,Comedy,Crime,Dwayne Johnson,Zac Efron,Alexandra Daddario,0,0,3,11,116,69000000,177856751
579,American Made,2017,7.2,65        ,151198,R,https://imdb.com/title/tt3532216/,Action,Biography,Comedy,Tom Cruise,Domhnall Gleeson,Sarah Wright,0,0,0,3,115,50000000,134866593
580,Wonder,2017,8.0,66        ,130793,PG,https://imdb.com/title/tt2543472/,Drama,Family,,Jacob Tremblay,Owen Wilson,Izabela Vidovic,0,1,4,426,113,20000000,305937718
581,Transformers: The Last Knight,2017,5.2,27        ,130591,PG-13,https://imdb.com/title/tt3371366/,Action,Adventure,Sci-Fi,Mark Wahlberg,Anthony Hopkins,Josh Duhamel,0,0,2,19,154,217000000,605425157
582,The Disaster Artist,2017,7.4,76        ,130311,R,https://imdb.com/title/tt3521126/,Biography,Comedy,Drama,James Franco,Dave Franco,Ari Graynor,0,1,31,3181,104,10000000,29820616
583,Molly's Game,2017,7.4,71        ,130048,R,https://imdb.com/title/tt4209788/,Biography,Crime,Drama,Jessica Chastain,Idris Elba,Kevin Costner,0,1,7,750,140,30000000,59284015
584,The Post,2017,7.2,83        ,127112,PG-13,https://imdb.com/title/tt6294822/,Drama,Thriller,,Meryl Streep,Tom Hanks,Sarah Paulson,0,2,19,19112,116,50000000,179769457
585,The Lego Batman Movie,2017,7.3,75        ,126870,PG,https://imdb.com/title/tt4116284/,Animation,Action,Comedy,Will Arnett,Michael Cera,Rosario Dawson,0,0,12,67,104,80000000,311950384
586,The Dark Tower,2017,5.6,34        ,121817,PG-13,https://imdb.com/title/tt1648190/,Action,Adventure,Fantasy,Idris Elba,Matthew McConaughey,Tom Taylor,0,0,0,4,95,60000000,113231078
587,Logan Lucky,2017,7.0,78        ,121447,PG-13,https://imdb.com/title/tt5439796/,Comedy,Crime,Drama,Channing Tatum,Adam Driver,Daniel Craig,0,0,2,11,118,29000000,48453605
588,The Big Sick,2017,7.5,86        ,115597,R,https://imdb.com/title/tt5462602/,Comedy,Drama,Romance,Kumail Nanjiani,Zoe Kazan,Holly Hunter,0,1,18,1893,120,5000000,56411585
589,The Killing of a Sacred Deer,2017,7.0,73        ,112716,R,https://imdb.com/title/tt5715874/,Drama,Horror,Mystery,Barry G. Bernson,Herb Caillouet,Bill Camp,0,0,5,52,121,,7027336
590,Happy Death Day,2017,6.5,58        ,108321,PG-13,https://imdb.com/title/tt5308322/,Horror,Mystery,Thriller,Jessica Rothe,Israel Broussard,Ruby Modine,0,0,0,3,96,4800000,125479266
591,T2 Trainspotting,2017,7.2,67        ,108071,R,https://imdb.com/title/tt2763304/,Drama,,,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,0,0,6,6,117,18000000,41681746
592,Despicable Me 3,2017,6.3,49        ,106895,PG,https://imdb.com/title/tt3469046/,Animation,Adventure,Comedy,Steve Carell,Kristen Wiig,Trey Parker,0,0,0,32,89,80000000,1034799409
593,Annabelle: Creation,2017,6.5,62        ,106297,R,https://imdb.com/title/tt5140878/,Horror,Mystery,Thriller,Anthony LaPaglia,Samara Lee,Miranda Otto,0,0,1,6,109,15000000,306515884
594,Phantom Thread,2017,7.5,90        ,103941,R,https://imdb.com/title/tt5776858/,Drama,Romance,,Vicky Krieps,Daniel Day-Lewis,Lesley Manville,0,1,57,57120,130,35000000,47756590
