movie,imdb_ratings,metascore,votes,category,genres1,genres2,genres3,stars1,stars2,stars3,nb_oscar,win,nom,runtime,budget,gross,years
The Jigsaw Man,5.2,64.0,1442.0,2.0,Thriller,Thriller,Thriller,Michael Caine,Laurence Olivier,Susan George,0.0,0.0,0.0,94.0,43819528.982781656,53160295.192035295,1983
Betrayal,7.1,64.0,1435.0,1.0,Drama,Thriller,Thriller,Jeremy Irons,Ben Kingsley,Patricia Hodge,1.0,3.0,1.0,95.0,43819528.982781656,53160295.192035295,1983
Acqua e sapone,6.5,64.0,1382.0,2.0,Comedy,Comedy,Comedy,Carlo Verdone,Natasha Hovey,Glenn Saxson,0.0,1.0,1.0,109.0,43819528.982781656,53160295.192035295,1983
Sweet Sixteen,5.2,64.0,1350.0,1.0,Horror,Thriller,Thriller,Bo Hopkins,Susan Strasberg,Patrick Macnee,0.0,0.0,0.0,88.0,43819528.982781656,53160295.192035295,1983
Sahara,5.0,64.0,1348.0,2.0,Adventure,Drama,Drama,Brooke Shields,Lambert Wilson,Horst Buchholz,0.0,1.0,1.0,111.0,25000000.0,1402962.0,1983
Mountaintop Motel Massacre,4.6,64.0,1283.0,1.0,Horror,Horror,Horror,Bill Thurman,Anna Chappell,Will Mitchell,0.0,0.0,0.0,95.0,43819528.982781656,53160295.192035295,1983
Heart Like a Wheel,6.8,74.0,1222.0,2.0,Biography,Drama,Romance,Bonnie Bedelia,Beau Bridges,Bruce Barlow,1.0,0.0,0.0,113.0,43819528.982781656,272278.0,1983
The Moon in the Gutter,6.1,64.0,1218.0,1.0,Drama,Drama,Drama,Gérard Depardieu,Nastassja Kinski,Victoria Abril,0.0,1.0,4.0,126.0,43819528.982781656,53160295.192035295,1983
The Being,4.2,64.0,1195.0,1.0,Horror,Sci-Fi,Sci-Fi,Martin Landau,Marianne Gordon,Bill Osco,0.0,0.0,0.0,82.0,4500000.0,53160295.192035295,1983
Beyond the Limit,5.8,64.0,1177.0,1.0,Drama,Romance,Thriller,Michael Caine,Richard Gere,Bob Hoskins,2.0,0.0,0.0,104.0,11800000.0,5997566.0,1983
A Night in Heaven,4.3,64.0,1156.0,1.0,Drama,Romance,Romance,Christopher Atkins,Lesley Ann Warren,Robert Logan,0.0,0.0,1.0,83.0,43819528.982781656,5563663.0,1983
Daniel,6.6,64.0,1114.0,1.0,Drama,Drama,Drama,Timothy Hutton,Mandy Patinkin,Lindsay Crouse,0.0,0.0,0.0,130.0,43819528.982781656,687475.0,1983
Scalps,3.9,64.0,1112.0,1.0,Horror,Horror,Horror,Jo-Ann Robinson,Richard Hench,Roger Maycock,0.0,0.0,0.0,82.0,15000.0,53160295.192035295,1983
Frightmare,4.6,64.0,1107.0,1.0,Comedy,Horror,Horror,Ferdy Mayne,Luca Bercovici,Nita Talbot,0.0,0.0,0.0,86.0,120000.0,53160295.192035295,1983
Space Raiders,4.7,64.0,1089.0,2.0,Action,Adventure,Sci-Fi,Vince Edwards,David Mendenhall,Patsy Pease,0.0,0.0,1.0,84.0,43819528.982781656,53160295.192035295,1983
Twice Upon a Time,6.9,64.0,1074.0,2.0,Animation,Action,Adventure,Lorenzo Music,Judith Kahan,Marshall Efron,0.0,0.0,0.0,74.0,43819528.982781656,53160295.192035295,1983
Get Crazy,6.8,64.0,1047.0,1.0,Comedy,Music,Music,Malcolm McDowell,Allen Garfield,Daniel Stern,0.0,0.0,0.0,92.0,43819528.982781656,1645711.0,1983
The Wicked Lady,4.6,64.0,1029.0,1.0,Adventure,Drama,Drama,Faye Dunaway,Alan Bates,John Gielgud,0.0,0.0,1.0,98.0,8000000.0,724912.0,1983
Eddie Macon's Run,5.7,64.0,984.0,2.0,Action,Adventure,Crime,Kirk Douglas,John Schneider,Lee Purcell,0.0,0.0,0.0,95.0,43819528.982781656,1262691.0,1983
Reuben Reuben,6.7,64.0,939.0,1.0,Comedy,Drama,Romance,Tom Conti,Kelly McGillis,Roberts Blossom,2.0,2.0,6.0,101.0,3500000.0,53160295.192035295,1983
Gabriela,6.3,64.0,937.0,1.0,Comedy,Drama,Romance,Sônia Braga,Marcello Mastroianni,Antonio Cantafora,0.0,0.0,1.0,99.0,43819528.982781656,1318839.0,1983
The Exterminators of the Year 3000,5.2,64.0,931.0,1.0,Action,Sci-Fi,Sci-Fi,Robert Iannucci,Alicia Moro,Luciano Pigozzi,0.0,0.0,0.0,103.28243887592573,43819528.982781656,53160295.192035295,1983
Baby Love,5.5,64.0,920.0,1.0,Comedy,Drama,Romance,Yftach Katzur,Zachi Noy,Jonathan Sagall,0.0,0.0,0.0,85.0,43819528.982781656,53160295.192035295,1983
The Lonely Lady,2.9,64.0,917.0,1.0,Drama,Drama,Drama,Pia Zadora,Lloyd Bochner,Bibi Besch,0.0,6.0,8.0,92.0,5000000.0,1223200.0,1983
Life Is a Bed of Roses,6.3,64.0,915.0,2.0,Comedy,Drama,Fantasy,Vittorio Gassman,Ruggero Raimondi,Geraldine Chaplin,0.0,0.0,3.0,110.0,43819528.982781656,53160295.192035295,1983
Boogeyman II,2.0,64.0,915.0,1.0,Horror,Horror,Horror,Suzanna Love,Ulli Lommel,Shannah Hall,0.0,0.0,0.0,79.0,43819528.982781656,53160295.192035295,1983
Spasms,4.5,64.0,896.0,1.0,Horror,Sci-Fi,Sci-Fi,Peter Fonda,Oliver Reed,Kerrie Keane,0.0,0.0,1.0,90.0,4900000.0,53160295.192035295,1983
The Prey,4.3,64.0,850.0,1.0,Horror,Horror,Horror,Debbie Thureson,Steve Bond,Lori Lethin,0.0,0.0,0.0,80.0,43819528.982781656,53160295.192035295,1983
Order of Death,5.5,64.0,838.0,1.0,Crime,Thriller,Thriller,Harvey Keitel,John Lydon,Nicole Garcia,0.0,0.0,0.0,117.0,43819528.982781656,53160295.192035295,1983
The Making of 'Thriller',8.2,64.0,835.0,2.0,Documentary,Music,Music,Michael Jackson,John Landis,Rick Baker,0.0,1.0,1.0,103.28243887592573,43819528.982781656,53160295.192035295,1983
Sugar Cane Alley,7.3,64.0,816.0,2.0,Drama,History,History,Garry Cadenat,Darling Légitimus,Douta Seck,0.0,8.0,1.0,103.0,43819528.982781656,53160295.192035295,1983
Privates on Parade,4.6,64.0,798.0,1.0,Comedy,Drama,War,Patrick Pearson,Michael Elphick,Joe Melia,0.0,0.0,0.0,103.28243887592573,43819528.982781656,53160295.192035295,1983
Fanny Hill,5.2,64.0,794.0,1.0,Comedy,Drama,Romance,Lisa Foster,Oliver Reed,Wilfrid Hyde-White,0.0,0.0,0.0,80.0,43819528.982781656,53160295.192035295,1983
Exposed,5.1,64.0,767.0,1.0,Drama,Music,Music,Nastassja Kinski,Rudolf Nureyev,Harvey Keitel,0.0,0.0,0.0,100.0,43819528.982781656,1818910.0,1983
Cracking Up,6.1,64.0,764.0,2.0,Comedy,Comedy,Comedy,Jerry Lewis,Milton Berle,Sammy Davis Jr.,0.0,0.0,1.0,89.0,43819528.982781656,53160295.192035295,1983
The Devonsville Terror,4.7,64.0,749.0,1.0,Horror,Horror,Horror,Suzanna Love,Robert Walker Jr.,Donald Pleasence,0.0,0.0,0.0,82.0,43819528.982781656,53160295.192035295,1983
Tough Enough,5.5,64.0,743.0,2.0,Action,Drama,Romance,Dennis Quaid,Carlene Watkins,Stan Shaw,0.0,0.0,0.0,106.0,43819528.982781656,2433722.0,1983
Screamtime,4.9,64.0,740.0,1.0,Fantasy,Horror,Horror,Vincent Russo,Michael Gordon,Marie Scinto,0.0,0.0,0.0,103.28243887592573,43819528.982781656,53160295.192035295,1983
Romantic Comedy,5.3,64.0,739.0,2.0,Comedy,Comedy,Comedy,Dudley Moore,Mary Steenburgen,Frances Sternhagen,0.0,0.0,0.0,103.28243887592573,43819528.982781656,6857733.0,1983
