,movie,year,imdb_ratings,metascore,votes,category,mv_page,n_imdb
219,Spider-Man: Into the Spider-Verse,201,8.4,87.0,322787.0,PG,https://imdb.com/title/tt4633694/,84.0
220,Green Book,201,8.2,69.0,328471.0,PG-13,https://imdb.com/title/tt6966692/,82.0
221,Hereditary,201,7.3,87.0,211784.0,R,https://imdb.com/title/tt7784604/,73.0
222,Our House,201,5.3,45.0,5678.0,PG-13,https://imdb.com/title/tt2018069/,53.0
223,The Hate U Give,201,7.4,81.0,26895.0,PG-13,https://imdb.com/title/tt5580266/,74.0
224,Aquaman,201,7.0,55.0,340207.0,PG-13,https://imdb.com/title/tt1477834/,70.0
225,A Star Is Born,201,7.7,88.0,311254.0,R,https://imdb.com/title/tt1517451/,77.0
226,Mission: Impossible - Fallout,201,7.7,86.0,274648.0,PG-13,https://imdb.com/title/tt4912910/,77.0
227,Crazy Rich Asians,201,6.9,74.0,127969.0,PG-13,https://imdb.com/title/tt3104988/,69.0
228,Bohemian Rhapsody,201,8.0,49.0,426457.0,PG-13,https://imdb.com/title/tt1727824/,80.0
229,Blockers,201,6.2,69.0,67494.0,R,https://imdb.com/title/tt2531344/,62.0
230,Deadpool 2,201,7.7,66.0,453571.0,R,https://imdb.com/title/tt5463162/,77.0
231,Annihilation,201,6.9,79.0,266094.0,R,https://imdb.com/title/tt2798920/,69.0
232,A Quiet Place,201,7.5,82.0,383727.0,PG-13,https://imdb.com/title/tt6644200/,75.0
233,Solo: A Star Wars Story,201,6.9,62.0,272504.0,PG-13,https://imdb.com/title/tt3778644/,69.0
234,Fantastic Beasts: The Crimes of Grindelwald,201,6.6,52.0,204403.0,PG-13,https://imdb.com/title/tt4123430/,66.0
235,The Favourite,201,7.5,91.0,159718.0,R,https://imdb.com/title/tt5083738/,75.0
236,The Meg,201,5.7,46.0,137169.0,PG-13,https://imdb.com/title/tt4779682/,57.0
237,Red Sparrow,201,6.6,53.0,156796.0,R,https://imdb.com/title/tt2873282/,66.0
238,Game Night,201,6.9,66.0,192835.0,R,https://imdb.com/title/tt2704998/,69.0
239,Den of Thieves,201,7.0,49.0,86464.0,R,https://imdb.com/title/tt1259528/,70.0
240,Venom,201,6.7,35.0,334714.0,PG-13,https://imdb.com/title/tt1270797/,67.0
241,A Simple Favor,201,6.8,67.0,114579.0,R,https://imdb.com/title/tt7040874/,68.0
242,Burden,201,6.0,57.0,533.0,R,https://imdb.com/title/tt5314450/,60.0
243,Hotel Artemis,201,6.1,58.0,40276.0,R,https://imdb.com/title/tt5834262/,61.0
244,Night Hunter,201,5.9,31.0,11582.0,R,https://imdb.com/title/tt6533240/,59.0
245,Ocean's 8,201,6.2,61.0,171377.0,PG-13,https://imdb.com/title/tt5164214/,62.0
246,First Man,201,7.3,84.0,154566.0,PG-13,https://imdb.com/title/tt1213641/,73.0
247,Suspiria,201,6.8,64.0,54942.0,R,https://imdb.com/title/tt1034415/,68.0
248,Mamma Mia! Here We Go Again,201,6.7,60.0,73071.0,PG-13,https://imdb.com/title/tt6911608/,67.0
249,High Strung Free Dance,201,6.5,43.0,746.0,PG,https://imdb.com/title/tt6428150/,65.0
250,Climax,201,7.1,67.0,44589.0,R,https://imdb.com/title/tt8359848/,71.0
251,Upgrade,201,7.5,67.0,138901.0,R,https://imdb.com/title/tt6499752/,75.0
252,The Ballad of Buster Scruggs,201,7.3,79.0,111532.0,R,https://imdb.com/title/tt6412452/,73.0
253,Fifty Shades Freed,201,4.5,31.0,51880.0,R,https://imdb.com/title/tt4477536/,45.0
254,Rampage,201,6.1,45.0,135013.0,PG-13,https://imdb.com/title/tt2231461/,61.0
255,Bird Box,201,6.6,51.0,260871.0,R,https://imdb.com/title/tt2737304/,66.0
256,Bad Times at the El Royale,201,7.1,60.0,120357.0,R,https://imdb.com/title/tt6628394/,71.0
257,Leave No Trace,201,7.2,88.0,45290.0,PG,https://imdb.com/title/tt3892172/,72.0
258,The Spy Who Dumped Me,201,6.0,52.0,63882.0,R,https://imdb.com/title/tt6663582/,60.0
259,Vice,201,7.2,61.0,109411.0,R,https://imdb.com/title/tt6266538/,72.0
260,"Love, Simon",201,7.6,72.0,92329.0,PG-13,https://imdb.com/title/tt5164432/,76.0
261,Capernaum,201,8.4,75.0,49137.0,R,https://imdb.com/title/tt8267604/,84.0
262,Bumblebee,201,6.8,66.0,126851.0,PG-13,https://imdb.com/title/tt4701182/,68.0
263,The Predator,201,5.4,48.0,110685.0,R,https://imdb.com/title/tt3829266/,54.0
