Column1;movie;year;imdb_ratings;metascore;votes;category;mv_page;genres1;genres2;genres3;stars1;stars2;stars3;rank;nb_oscar;win;nom;runtime;budget;gross
169;The Hustle;2019;5.4;35;41259;PG-13;https://imdb.com/title/tt1298644/;Comedy;Crime;;Anne Hathaway;Rebel Wilson;Alex Sharp;0;0;3;3;93;21000000;95020916
170;The Farewell;2019;7.6;89;41252;PG;https://imdb.com/title/tt8637428/;Comedy;Drama;;Shuzhen Zhao;Awkwafina;X Mayo;0;1;32;157;100;;22490807
171;Shaft;2019;6.4;40;40421;R;https://imdb.com/title/tt4463894/;Action;Comedy;Crime;Samuel L. Jackson;Jessie T. Usher;Richard Roundtree;0;0;0;0;111;35000000;21360215
172;The Laundromat;2019;6.3;57;39064;R;https://imdb.com/title/tt5865326/;Comedy;Crime;Drama;Gary Oldman;Antonio Banderas;AJ Meijer;0;0;0;6;95;;
173;Child's Play;2019;5.8;48;38790;R;https://imdb.com/title/tt8663516/;Horror;Sci-Fi;;Tim Matheson;Ben Andrusco-Daon;Zahra Anderson;0;0;1;4;90;10000000;44902237
174;Dark Waters;2019;7.6;73;38728;PG-13;https://imdb.com/title/tt9071322/;Biography;Drama;History;Mark Ruffalo;Anne Hathaway;Tim Robbins;0;0;0;4;126;;21570073
175;Stuber;2019;6.2;42;35461;R;https://imdb.com/title/tt7734218/;Action;Comedy;Crime;Dave Bautista;Kumail Nanjiani;Mira Sorvino;0;0;0;4;93;16000000;32390945
176;Five Feet Apart;2019;7.2;53;35460;PG-13;https://imdb.com/title/tt6472976/;Drama;Romance;;Haley Lu Richardson;Cole Sprouse;Moises Arias;0;0;3;7;116;7000000;91522094
177;Last Christmas;2019;6.5;50;34879;PG-13;https://imdb.com/title/tt8623904/;Comedy;Drama;Romance;Madison Ingoldsby;Emma Thompson;Boris Isakovic;0;0;0;1;103;25000000;121550750
178;Ma;2019;5.6;53;34540;R;https://imdb.com/title/tt7958736/;Horror;Mystery;Thriller;Octavia Spencer;Diana Silvers;Juliette Lewis;0;0;1;5;99;5000000;61105672
179;Cats;2019;2.7;32;34089;PG;https://imdb.com/title/tt5697572/;Comedy;Drama;Family;James Corden;Judi Dench;Jason Derulo;25;1;11;5;110;95000000;73695985
180;The Silence;2019;5.3;25;33740;PG-13;https://imdb.com/title/tt7315484/;Drama;Horror;Sci-Fi;Stanley Tucci;Kiernan Shipka;Miranda Otto;0;0;0;0;90;;2325977
181;The Curse of la Llorona;2019;5.3;41;33472;R;https://imdb.com/title/tt4913966/;Horror;Mystery;Thriller;Linda Cardellini;Raymond Cruz;Patricia Velasquez;0;0;1;6;93;9000000;123133739
182;Downton Abbey;2019;7.4;64;33285;PG;https://imdb.com/title/tt6398184/;Drama;Romance;;Stephen Campbell Moore;Michael Fox;Lesley Nicol;0;0;2;17;122;13000000;192094429
183;Serenity;2019;5.3;37;32230;R;https://imdb.com/title/tt6476140/;Drama;Mystery;Thriller;Matthew McConaughey;Anne Hathaway;Diane Lane;0;0;3;5;106;25000000;14454622
184;Just Mercy;2019;7.6;68;31895;PG-13;https://imdb.com/title/tt4916630/;Biography;Crime;Drama;Michael B. Jordan;Jamie Foxx;Brie Larson;0;0;10;11;137;25000000;50401502
185;Judy;2019;6.8;66;31802;PG-13;https://imdb.com/title/tt7549996/;Biography;Drama;Romance;Renée Zellweger;Jessie Buckley;Finn Wittrock;0;1;22;55;118;;42077304
186;21 Bridges;2019;6.6;51;31655;R;https://imdb.com/title/tt8688634/;Action;Crime;Drama;Chadwick Boseman;Sienna Miller;J.K. Simmons;0;0;0;2;99;33000000;49939757
187;Motherless Brooklyn;2019;6.8;60;30761;R;https://imdb.com/title/tt0385887/;Crime;Drama;Mystery;Edward Norton;Gugu Mbatha-Raw;Alec Baldwin;0;1;2;11;144;26000000;18477736
188;Togo;2019;8.0;69;28340;PG;https://imdb.com/title/tt5116302/;Adventure;Biography;Drama;Willem Dafoe;Julianne Nicholson;Christopher Heyerdahl;0;0;1;2;113;;
189;After;2019;5.4;30;28333;PG-13;https://imdb.com/title/tt4126476/;Drama;Romance;;Josephine Langford;Hero Fiennes Tiffin;Khadijha Red Thunder;0;0;0;4;105;14000000;69733482
