,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
3683,A Beautiful Mind,2001,8.2,72        ,820063,PG-13,https://imdb.com/title/tt0268978/,Biography,Drama,,Russell Crowe,Ed Harris,Jennifer Connelly,138,4,33,68,135,58000000,316791257
3684,Donnie Darko,2001,8.0,88        ,723889,R,https://imdb.com/title/tt0246578/,Drama,Mystery,Sci-Fi,Jake Gyllenhaal,Jena Malone,Mary McDonnell,0,0,11,15,113,6000000,6979093
3685,Amélie,2001,8.3,69        ,685605,R,https://imdb.com/title/tt0211915/,Comedy,Romance,,Audrey Tautou,Mathieu Kassovitz,Rufus,108,5,59,67,122,10000000,173924742
3686,Harry Potter and the Sorcerer's Stone,2001,7.6,64        ,617029,PG,https://imdb.com/title/tt0241527/,Adventure,Family,Fantasy,Daniel Radcliffe,Rupert Grint,Richard Harris,0,3,17,65,152,125000000,978087613
3687,Spirited Away,2001,8.6,96        ,616018,PG,https://imdb.com/title/tt0245429/,Animation,Adventure,Family,Daveigh Chase,Suzanne Pleshette,Miyu Irino,27,1,57,30,125,19000000,347742810
3688,Shrek,2001,7.8,84        ,595484,PG,https://imdb.com/title/tt0126029/,Animation,Adventure,Comedy,Mike Myers,Eddie Murphy,Cameron Diaz,0,1,38,60,90,60000000,487853320
3689,Ocean's Eleven,2001,7.7,74        ,499949,PG-13,https://imdb.com/title/tt0240772/,Crime,Thriller,,George Clooney,Brad Pitt,Julia Roberts,0,0,4,20,116,85000000,450717150
3690,Training Day,2001,7.7,69        ,377546,R,https://imdb.com/title/tt0139654/,Crime,Drama,Thriller,Denzel Washington,Ethan Hawke,Scott Glenn,0,1,17,23,122,45000000,104876233
3691,Black Hawk Down,2001,7.7,74        ,355615,R,https://imdb.com/title/tt0265086/,Drama,History,War,Josh Hartnett,Ewan McGregor,Tom Sizemore,0,2,9,37,144,92000000,172989651
3692,The Fast and the Furious,2001,6.8,58        ,338121,PG-13,https://imdb.com/title/tt0232500/,Action,Crime,Thriller,Vin Diesel,Paul Walker,Michelle Rodriguez,0,0,11,12,106,38000000,214463726
3693,The Others,2001,7.6,74        ,328125,PG-13,https://imdb.com/title/tt0230600/,Horror,Mystery,Thriller,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,0,1,29,53,101,17000000,209947037
3694,Mulholland Drive,2001,8.0,85        ,308995,R,https://imdb.com/title/tt0166924/,Drama,Mystery,Thriller,Naomi Watts,Laura Harring,Justin Theroux,0,1,49,59,147,15000000,20129557
3695,Pearl Harbor,2001,6.2,44        ,305089,PG-13,https://imdb.com/title/tt0213149/,Action,Drama,History,Ben Affleck,Kate Beckinsale,Josh Hartnett,0,1,13,51,183,140000000,449220945
